,Unnamed: 0,NTA_Unq_ID,ntacode,ntaname,pct_buildings_coolRoof,pct_Area_coolRoof,Heat_Vulnerability,pct_imp,pct_permeable,pct_trees,Avg_dist_to_parks_ft,ST_20130601,ST_20140807,ST_20160609,ST_20160618,ST_20160625,ST_20170612,ST_20190830,ST_20190922,ST_20200613,ST_20200706,ST_20210623,ST_20210826,ST_20220509,ST_20220619,ST_20220704,ST_20220720,ST_20220914,ST_20220915,ST_20230723,ST_20230731,ST_20230809,ST_20230901,ST_20230902,NTA_MRT_Mean,NTA_PCT_MRT_Less_Than_110
137,137,138,BX49,Pelham Parkway,25.47747747747748,38.31599241013989,3.0,62.98636469424025,11.502469409458262,23.63470206708124,938.3857451,111.1235122680664,99.72502899169922,86.51569366455078,105.5277328491211,104.8546905517578,111.97321319580078,96.28604888916016,93.77664947509766,97.28922271728516,116.36233520507812,92.93755340576172,103.49868774414062,80.50913239,91.27742004394533,108.74845123291016,116.16931915283205,88.05345916748047,85.691185,106.35257720947266,102.9545669555664,102.37464904785156,87.80527496,94.28401947021484,121.74633352653876,0.374293597861129
138,138,139,BX41,Mount Hope,52.330827067669176,57.89025776366944,5.0,85.07163566545776,1.8660922523849053,12.209792304140464,979.237601,111.58273315429688,99.24766540527344,86.35746002197266,106.36354064941406,106.05915069580078,112.83519744873048,95.71324920654295,92.67572021484376,98.18840789794922,117.1640853881836,92.62640380859376,106.78972625732422,80.74318695,91.61824798583984,108.39422607421876,114.9819336,87.01867676,84.46389770507812,106.76654052734376,103.77481079101562,102.38790893554688,87.74445343017578,94.49018096923828,127.4206248261044,0.304561259300637
139,139,140,QN47,Ft. Totten-Bay Terrace-Clearview,38.02788844621514,45.03032483,1.0,48.49569366650204,27.006230420537985,24.29451095599605,970.6030879,104.16141510009766,97.18244934082033,84.51585388183594,102.6809539794922,97.17166900634766,106.87088012695312,94.4407959,92.19114685058594,95.62052154541016,112.46784210205078,90.66815185546876,102.18697357177734,,89.15129852294922,106.50588989257812,110.31883239746094,86.98634338378906,85.06972504,103.2471923828125,101.9957046508789,99.15218353271484,87.48676300048828,92.82586669921876,121.35141175122948,0.321894600186402
140,140,141,QN49,Whitestone,20.22461566786339,27.13261151124672,1.0,60.38216035179842,19.65009683307364,19.74941129863992,1817.692249,107.7566146850586,98.88555908203124,86.49005889892578,105.65746307373048,100.0496063232422,110.54788208007812,95.41120910644533,94.47444915771484,98.84775543,115.35928344726562,93.43049621582033,104.70700073242188,79.92471313476562,91.70686340332033,109.6657257080078,112.91374969482422,88.69208526611328,86.88573455810547,106.46602630615234,105.46226501464844,101.80475616455078,89.27241516113281,95.42353821,124.82822913211614,0.28840891752796
141,141,142,MN19,Turtle Bay-East Midtown,17.269736842105264,8.412048642,2.0,85.11001294929302,2.8890347497315902,11.867807516531762,2083.758695,105.64891815185548,95.76049805,86.82540893554688,103.31126403808594,100.99044799804688,107.39217376708984,93.67728424072266,88.19252777,97.93525696,112.54279327392578,90.27249145507812,100.39928436279295,77.94841766357422,92.61437225341795,104.86713409423828,107.15546417236328,84.36347198486328,84.17663574,102.5122528076172,101.33924865722656,100.6328353881836,85.37451934814453,91.51148986816406,118.81283036775784,0.500231318293975
142,142,143,MN31,Lenox Hill-Roosevelt Island,36.28608923884514,26.17366339779892,1.0,74.21807278820901,7.423945027330822,18.18150023300744,1833.405726,104.16937255859376,94.70597839355467,84.09466552734375,100.89034271240234,98.76143646240234,105.83146667480467,93.12482452392578,88.6640625,95.08040618896484,111.41542053222656,89.03095245361328,99.30449676513672,76.87561798095703,89.56694793701172,103.38172912597656,105.85589599609376,84.15330505371094,83.49887848,100.64604949951172,99.70835114,98.94973754882812,84.99237823486328,90.63478088378906,119.22273206259491,0.46312852458202
143,143,144,QN50,Elmhurst-Maspeth,50.3604275416356,52.19694293,3.0,75.53678384001886,5.192796071957486,16.07708837865682,1670.76113,111.0276107788086,98.89733123779295,86.62949371,106.98365783691406,104.22698974609376,113.42725372314452,96.88950348,94.55492401123048,99.51709747314452,118.72593688964844,93.37869262695312,108.4771499633789,79.55900573730469,91.82329559326172,110.53216552734376,113.99441528320312,88.89226531982422,86.47115325927734,107.95149230957033,106.75823974609376,103.34986114501952,89.73442840576172,95.00067901611328,127.20988962746168,0.278963732101521
144,144,145,QN63,Woodside,49.612094688681125,52.70051432133176,3.0,76.49898530380818,3.945610297980992,16.22212151895149,2078.667196,112.32386779785156,99.16539001464844,87.14594268798828,107.49195098876952,104.9657974243164,114.6573257446289,96.88368988,94.80269622802734,100.57904052734376,119.53430938720705,93.66702270507812,108.15064239501952,79.82270050048828,92.17958068847656,110.44155883789062,114.80764770507812,89.43305206298828,86.4822998,108.46695709228516,107.48163604736328,103.16754913330078,89.75695037841797,95.74787902832033,126.26947737058792,0.304334318916015
145,145,146,QN08,St. Albans,8.360865395,14.655940552639883,5.0,60.37982496135852,17.776046007658525,20.715075912549818,2807.252173,108.06818389892578,101.44528198242188,88.27693939208984,106.7878646850586,,113.89385986328124,97.50576019,94.25644684,100.4364013671875,117.7662582397461,96.0185318,104.80778503417967,81.06566619873047,94.24230957,112.95938873291016,115.82083892822266,92.22859191894533,89.78845215,109.00304412841795,109.88214111328124,105.64802551269533,92.43929290771484,96.41166687,124.77810454726446,0.30289300417985
146,146,147,QN66,Laurelton,7.998120300751879,13.00420782,4.0,63.276806658141325,17.358594463585924,18.465632997006587,4045.77887,108.42462158203124,102.2957000732422,89.30661774,106.04290008544922,,113.72339630126952,96.64463043,93.69388580322266,100.5374526977539,117.47251892089844,95.79983520507812,107.24273681640624,81.96783447265625,94.96932983398438,113.7287368774414,117.92779541015624,93.31112670898438,90.21204376220705,108.68881225585938,110.76507568359376,105.65354919433594,93.50093079,96.57061767578124,126.36465001771272,0.277262073471881
