,NTA_Unq_ID,Air_temp_raster_20130601,Air_temp_raster_20140807,Air_temp_raster_20160609,Air_temp_raster_20160618,Air_temp_raster_20160625,Air_temp_raster_20170612,Air_temp_raster_20190830,Air_temp_raster_20190922,Air_temp_raster_20200613,Air_temp_raster_20200706,Air_temp_raster_20210623,Air_temp_raster_20210826,Air_temp_raster_20220509,Air_temp_raster_20220619,Air_temp_raster_20220704,Air_temp_raster_20220720,Air_temp_raster_20220914,Air_temp_raster_20220915,Air_temp_raster_20230723,Air_temp_raster_20230731,Air_temp_raster_20230809,Air_temp_raster_20230901,Air_temp_raster_20230902,Air_Heat_Index_outputs20130601,Air_Heat_Index_outputs20140807,Air_Heat_Index_outputs20160609,Air_Heat_Index_outputs20160618,Air_Heat_Index_outputs20160625,Air_Heat_Index_outputs20170612,Air_Heat_Index_outputs20190830,Air_Heat_Index_outputs20190922,Air_Heat_Index_outputs20200613,Air_Heat_Index_outputs20200706,Air_Heat_Index_outputs20210623,Air_Heat_Index_outputs20210826,Air_Heat_Index_outputs20220509,Air_Heat_Index_outputs20220619,Air_Heat_Index_outputs20220704,Air_Heat_Index_outputs20220720,Air_Heat_Index_outputs20220914,Air_Heat_Index_outputs20220915,Air_Heat_Index_outputs20230723,Air_Heat_Index_outputs20230731,Air_Heat_Index_outputs20230809,Air_Heat_Index_outputs20230901,Air_Heat_Index_outputs20230902
51,52,80.29146933459626,82.34483779303812,75.08918422922093,79.2518351882548,79.45326189912385,87.4721465782619,78.26872188017997,76.97251657589392,81.07806210040256,85.9505905162207,79.73764207909069,79.91413094956192,75.51329031494198,78.43483601704949,81.53019180677244,83.64524627042387,78.44485555292447,75.65431121240825,83.20120471228984,80.29854368932038,80.13120856026521,78.70882666350936,80.51303871655222,76.70199125502245,73.57791450011817,66.23742909477664,73.94702788938785,71.62047240605058,80.59626356903415,72.76647069250768,68.64918902150792,83.05245509335855,78.204938253368,70.44962036161664,75.31433910423068,56.89986852989837,66.079591113212,76.09590670054361,81.14701754904279,69.53468447175608,79.01116018671709,78.05715995036634,75.40384956275112,75.27863536988892,68.14439553297093,72.02218742614039
52,53,82.90450348432056,84.51270034843206,75.80973867595819,81.5877787456446,82.6915156794425,89.06231707317073,79.07952090592335,78.29304006968641,84.07294425087107,91.46587979094076,82.07885888501742,79.0267944250871,75.87117595818815,81.64339721254355,84.66182055749128,85.17991289198606,80.48531358885018,75.96425087108014,85.60844947735191,86.80789198606271,80.88649825783972,80.96227351916376,82.69496515679442,85.11685312979228,76.15835424508573,68.98832427157396,80.28497490589712,78.51462951345323,83.26091627128683,75.00628223895163,72.75462672521958,84.8182594451415,82.14331520981459,74.08160811375993,72.2885124773456,56.53973232956922,72.95273072633486,81.04904677261955,82.81515753520145,71.59723964868256,80.13946396208003,80.7327216645755,81.30524187926949,78.12411996375296,72.12190680329012,74.92473511780287
53,54,81.24645791415158,81.25538648558015,75.1958521965124,79.28475540744466,80.29792295439303,87.077223759222,78.13084758551308,77.13150255700872,81.789513120389,87.11067970321932,78.66604313380282,79.94272405264923,75.03508551307847,79.49242328973843,80.5837001173709,83.04185005868544,77.55911510731053,75.69590983400403,82.08723172367539,80.86692551140175,80.07993796109993,77.68785106472167,80.20554053487592,78.4011132288874,73.39803954423593,66.661522913874,72.62548697218499,70.93991391588472,82.44435805865331,71.40850159182305,67.19291429289544,83.54539837466488,79.70728782674263,70.03953899966488,74.6992082774799,55.86441228217158,70.14434274463807,79.37492669235925,80.49789502345844,64.35167769772119,78.15255320040214,77.74404113605898,74.44418146782841,74.95980646782841,67.88537303116622,70.30465608243968
54,55,79.57688956981495,80.04730683729872,68.54983026916607,78.43578767123287,77.46906542898341,81.55559811343427,76.7653433669791,75.86637076423936,78.63881128334535,82.8439152247056,77.66908495553953,78.17613704638308,-inf,76.68258832011536,79.57782083633742,81.92715843547224,76.34757269887047,74.52282354001441,79.95307618360971,78.93038782744533,78.14104181687094,75.24261745974525,78.8835766642634,75.18824927343182,67.62871609348511,60.401822475175585,71.10217364979414,68.99288568660693,70.08244673788302,66.24595846451925,66.64507901428918,80.30777730685396,75.36981563332526,64.35448201743763,69.17805461370791,inf,63.1599660934851,66.40123970695083,74.69285087188182,63.03475796197627,75.65066450714458,68.82059063938,68.65886867280213,69.89389077258416,60.11412039840155,65.43282271736499
55,56,83.46060841246653,83.70671262478695,75.35086437789141,81.49729121012905,82.3108716824933,88.34019661553445,78.6741843194546,78.12168249330412,82.67120160701242,88.80085068176284,81.02187576089604,82.62426193084977,76.19583942050158,80.36641709276844,82.7513087411736,86.51147431214999,77.87526631361091,75.54140796201607,83.86666057949842,81.57013939615291,79.98887570002435,78.30265400535671,81.73115260530801,85.42193217858014,74.7486810807514,66.622575628202,79.65935289094901,78.11539399853623,82.6413716271785,73.87206483288607,72.3205659917053,83.65994754818249,81.58908422786045,71.55034764576726,82.31525981946817,58.50066327152964,70.2517915955111,80.27021834593803,82.79854842644548,67.4652735423274,77.92994480361064,79.44937027323738,76.62885764820687,75.89815351305197,69.14979263234936,72.9572609172969
56,57,81.396791744114,79.46105367100371,75.08862879491946,80.30803225681537,80.9676028113383,85.87739118649318,77.76486020755885,77.41407218091697,81.14252245972739,87.47148001858736,78.78897537174721,79.74134526022304,74.24767657992565,77.34762720724908,81.53637120508054,82.93683201672863,77.62511617100371,75.5801386307311,82.2420229244114,81.65968672552664,78.82091755731103,77.3440791511772,80.07478508364312,79.60069336544437,66.75124300807956,58.458941889372284,75.17443384866377,74.32343944220013,76.51154243701582,70.20148384089497,70.07413377874457,81.67215661901803,79.9406172311995,63.578358064014914,75.76037134866377,55.650947793660656,64.03753787290242,76.9161892091361,79.60473314170292,61.963564325668116,75.91627175264139,76.26984442977005,75.12384439092604,69.50638983840895,64.07232753262896,69.55223547234307
57,58,82.59008440118285,81.84691504435682,75.65353160423854,80.88980101034993,82.56211495810744,88.83303043371119,78.65933033514047,77.81313916954164,82.51420034499753,89.76364588467226,79.40016633809759,81.79669017989157,73.96420650566782,78.5568244825037,81.7240635781173,84.22092163627403,78.2040876047314,75.61737617052735,84.73209555199605,83.40284622966979,80.15600357318877,78.24340038196156,81.13128388368655,84.35964035195668,73.116124169333,60.047386475510706,77.88571406596111,77.24990770366725,82.93456138744162,73.70942807039134,71.7850802978095,84.02781965296579,81.88372200344573,70.8664625892198,79.4171332759045,55.79187946098941,69.20646689638198,79.26401365985726,82.79128722618755,64.62817653211913,76.17042517843957,79.71286610878661,78.0349110878661,75.96621185084912,67.30810054147182,72.92553993354664
58,59,81.4800767733564,81.23999107915225,74.77078827854672,79.93776357050173,78.60329260380622,85.71908791089966,78.15256677119378,76.55890462802768,81.22307525951557,84.09572339965398,78.6488227184256,79.52654628027682,72.396484375,79.13780006487889,80.29496918252595,82.74418793252595,77.65039738321799,75.68110672577855,81.41646842560553,80.85363051470588,79.61605887759515,77.252939824827,79.8540089749135,80.44026096204189,72.46522551265271,67.1498827443281,76.05921411431065,73.85271460514834,76.56756440007874,70.83914157940663,69.98307291666667,82.80660313045375,80.0963132635253,69.50723303883072,74.4392997382199,55.94827116055846,69.02576897905759,63.262625436300176,79.32198952879581,63.14394497164049,77.17291121291449,74.37083469677138,74.61780104712042,74.38898887434554,61.10738438045375,70.23945380671903
59,60,81.3322275121556,82.89998480551054,75.67880875202593,79.88311892220422,81.08328606158832,87.59564424635332,78.50710089141005,77.46209481361426,82.48330632090762,88.81904376012966,79.65698946515397,80.03192362236629,74.77843395461913,78.59674331442463,82.4365680713128,85.06799027552674,78.0390397082658,76.00586507293355,83.6425141815235,81.75817463533225,80.04851094003241,78.8628038897893,80.55465457860616,81.13006482982172,74.30974979740681,61.723576782820096,76.04173419773096,75.66217585089142,82.10647781841952,73.29119732576986,70.50720218800649,83.67596231766612,81.65542443273905,71.27417949756888,76.16894246353323,55.85640194489465,69.67978119935171,79.95770867098865,82.7060879254457,67.19826276337115,78.95477106969206,79.24678889789303,76.8915569286872,76.0956594408428,70.63573743922204,71.86826884116694
60,61,82.39879408713693,83.37502593360996,75.78744813278009,79.97525933609958,81.46008817427386,87.79050829875519,78.53182053941909,77.62039678423237,83.14214211618257,89.02786566390041,80.77913641078838,80.21977437759337,75.13339600622406,78.89525414937759,83.14229771784233,85.15465508298755,78.14054071576763,75.7433156120332,84.3325012966805,82.09915715767634,80.15238589211619,79.49214211618258,81.35635373443984,84.52469632475083,75.2297549833887,62.84707225913621,76.09533975290698,75.94346319559801,81.97615233608259,72.83043500830564,71.32649631436877,83.87226822051495,81.86616876038207,72.1431815822259,76.16816990240864,55.980403862126245,70.382968230897,80.37793293189368,82.23273333679403,69.04630398671097,79.35651344476744,79.69952372300665,77.13348733388705,76.33957122093024,71.11707070182725,72.02471579111295
