,NTA_Unq_ID,ntacode,ntaname,pct_buildings_coolRoof,pct_Area_coolRoof,Heat_Vulnerability,pct_imp,pct_permeable,pct_trees,NTA_PCT_MRT_Less_Than_110,Relative_ST_Average,pct_tree_class,MRT_class,RelativeST_class,Permeable_class,cool_roof_class,Outdooor_Heat_Volnerability_Index
45,46,BX30,Kingsbridge Heights,40.711009174311926,41.063629771471966,4.0,71.27936966009416,6.505547432111886,19.108264194928832,0.337849987871021,15.855578460665123,3,3,3,3,3,3.0
46,47,QN02,Springfield Gardens North,4.540295119182747,15.314838278478415,5.0,58.19171810059082,18.68597676496262,22.605827122416848,0.326361221779547,18.264986785436825,2,3,5,2,5,3.4
47,48,BK50,Canarsie,54.0686274509804,55.37039233353004,4.0,63.61385612572601,16.605311331684998,19.218156208788205,0.285910402697409,15.268088857397387,3,4,2,2,1,2.4
48,49,BX43,Norwood,47.63485477178424,50.62081362040484,4.0,68.75929122307926,6.390088878245933,23.176177130986872,0.424221672837571,14.107774750106945,2,2,1,3,2,2.0
49,50,MN06,Manhattanville,59.72540045766591,44.351893682116405,4.0,72.32684263816218,5.813981910853026,20.270145377931527,0.376102318357557,15.549096356649873,2,2,2,3,3,2.4
50,51,MN23,West Village,35.9375,29.41636746491909,1.0,80.26777102583551,2.427893272182027,17.135195630835344,0.46381071210507,15.811289039122569,4,1,3,5,4,3.4
51,52,SI14,Grasmere-Arrochar-Ft. Wadsworth,7.522813265079011,15.127396820231755,1.0,51.2469987,25.104130660388424,23.307387511091346,0.298300849590442,15.789193468640873,2,4,3,1,5,3.0
52,53,QN34,Queens Village,8.278128950695322,13.666017811849136,4.0,66.64342274,14.163122847432398,18.24883791085584,0.274556176953155,18.966730627602832,3,4,5,2,5,3.8
53,54,MN27,Chinatown,48.01010739102969,37.16371277029579,4.0,81.68352623950416,2.4523706163671166,15.729574686338864,0.356180652318318,15.65096854459992,4,2,2,5,3,3.2
54,55,BX10,Pelham Bay-Country Club-City Island,24.405409606715374,30.294918967808744,1.0,58.55298645456226,21.857584394710784,18.96495829362125,0.280793679505542,12.097092752090104,3,4,1,1,4,2.6
55,56,BX62,Woodlawn-Wakefield,25.925925925925927,35.15804919159837,4.0,66.43555450708222,9.48726657,20.33785808478773,0.32793847971443,17.964157809447684,2,3,4,3,4,3.2
56,57,QN71,Old Astoria,55.564142194744974,49.61649632,3.0,78.74236138587709,5.472251553264957,15.314611952004748,0.306208279165512,15.62778999419127,4,3,2,4,2,3.0
57,58,QN70,Astoria,66.72710788757932,66.6388987,2.0,80.83305040609767,3.529899723570907,14.691685185714364,0.321051876315855,15.140414469747403,4,3,2,5,1,3.0
58,59,MN50,Stuyvesant Town-Cooper Village,76.54320987654322,76.00326118,1.0,56.685879947234405,5.465359370794731,37.64088516,0.584724658184667,13.796194688368349,1,1,1,4,1,1.6
59,60,BK30,Dyker Heights,49.93590375702593,55.49468858091423,2.0,79.45572603534394,5.404579591157787,14.932637338313898,0.27888477873108,15.927964952583237,4,4,3,4,1,3.2
60,61,BK28,Bensonhurst West,48.07377341023998,55.66118449,2.0,84.32754282920467,2.8383701742037,11.323451020338716,0.247672205785199,16.48247330443096,5,5,3,5,1,3.8
61,62,SI22,West New Brighton-New Brighton-St. George,19.17750141322781,37.18994141169349,3.0,54.865080929022206,15.77963922053834,28.91200385833462,0.400232245011361,15.21597660622592,1,2,2,2,3,2.0
62,63,SI35,New Brighton-Silver Lake,14.397618674604418,19.61248018369364,1.0,40.138648314801344,25.76616651592732,33.86587287357607,0.429355526285169,13.361428414269984,1,2,1,1,5,2.0
63,64,SI07,Westerleigh,8.994488925860455,14.438707277050812,1.0,47.93710315,20.18627867670644,31.65487967357657,0.40932839418874,15.907503725460233,1,2,3,1,5,2.4
64,65,BX36,University Heights-Morris Heights,46.18055555555556,52.34406223025046,5.0,70.58124766236149,6.986289077369415,19.795774626679137,0.346322091911242,15.494198151391467,3,3,2,3,2,2.6
65,66,QN46,Bayside-Bayside Hills,16.973206898746263,21.071573178493704,2.0,56.55939374970736,17.40262300209334,25.50158519873897,0.364324106606648,17.040685707173566,1,2,4,2,4,2.6
66,67,BK61,Crown Heights North,60.77336197636949,59.18106069,5.0,74.24274849274333,3.9360380575626506,21.018875808111915,0.416973962433052,15.40718086935737,2,2,2,4,1,2.2
67,68,BX14,East Concourse-Concourse Village,56.32107023411371,54.84639160641376,5.0,82.84441598639103,3.1636690551796463,11.883278801310524,0.299229322595633,18.349685169716675,5,4,5,5,2,4.2
68,69,QN26,North Corona,46.12418831168832,51.377491585218486,4.0,81.85731616,3.340143163793651,13.393998556069633,0.279563772773117,17.56458336885633,5,4,4,5,2,4.0
69,70,BK83,Cypress Hills-City Line,52.54354437379043,55.3757187095736,4.0,75.58054250476638,4.688654469671946,17.589656063143345,0.319861421586529,15.956199956233553,3,3,3,4,1,2.8
70,71,QN37,Kew Gardens Hills,27.71153569889384,32.813492594508844,2.0,59.77975476659423,15.019313954680127,24.96062140120356,0.382450516188415,17.89023225826774,1,2,4,2,4,2.6
71,72,QN38,Pomonok-Flushing Heights-Hillcrest,21.312402771885164,26.27863135371184,3.0,62.48296440664186,13.33336295,23.941305508113825,0.359915825427558,18.256811651275967,1,2,5,2,4,2.8
72,73,BK73,North Side-South Side,52.80867630700779,47.63611757535168,3.0,82.11013581371536,4.2262695346581785,13.013032694175836,0.292918530904288,17.118479222938767,5,4,4,4,2,3.8
73,74,MN28,Lower East Side,49.746192893401016,39.46692764677431,3.0,67.95367232061592,6.453809177471466,25.295258606998505,0.432527676957523,15.292852921842776,1,2,2,3,3,2.2
74,75,BK76,Greenpoint,64.83858420847919,55.68728672351257,3.0,86.69253978562253,3.0341164873867834,10.135961602851395,0.230007138626923,16.967404681821133,5,5,4,5,1,4.0
75,76,BX29,Spuyten Duyvil-Kingsbridge,30.537159676232523,42.994263944793886,2.0,56.737359633260574,7.343301577108698,32.50598914984993,0.476289424773588,14.468023164482016,1,1,1,3,3,1.8
76,77,BK34,Sunset Park East,66.43529230294617,66.96489176350862,3.0,79.83168512,2.943666714720452,14.743106714282808,0.316809314476099,14.743236039832142,4,3,2,5,1,3.0
77,78,MN01,Marble Hill-Inwood,50.29585798816568,46.45682928868721,3.0,73.21802286208927,4.250941188621651,16.451247472559213,0.337012977404225,16.715695300740403,4,3,3,4,3,3.4
